Number	Gender	GivenName	Surname	Birthday	Age	BloodType	Kilograms	Centimeters
3927	female	Anna	Turnbull	8/22/2016	1	O+	9.8	73
3928	male	Kenneth	Aichele	8/26/2010	7	A+	24.7	120
3929	male	Vlad	Abramovich	10/14/2009	8	O+	25.6	138
3930	male	Johnny	Webster	11/17/2001	16	B+	77.2	168
3931	female	Didiane	Langelier	9/29/2014	3	O+	15.2	89
3932	male	Roland	Loginov	11/21/2007	10	O+	40.5	143
3933	female	Christy	Williams	3/19/2017	0	O+	4.6	51
3934	male	Isaac	Loginov	5/31/2016	1	B+	8.4	72
3935	male	Robert	Schutz	7/7/2009	8	A-	28.2	133
3936	female	Fleurette	Pépin	7/2/2012	5	A+	16.1	107
3937	male	Arthur	Bobrov	9/1/2015	2	AB+	15.3	82
3938	male	Richard	Jackson	3/23/2007	10	A+	24	146
3939	male	Mark	Carrasco	12/19/2011	6	O+	19.8	116
3940	male	Mitrofan	Yefimov	1/17/2016	2	A+	12.3	84
3941	female	Sarah	Vincent	4/23/2001	16	B+	48.3	163
3942	female	Zoe	Zaitseva	4/12/2013	4	O+	12.2	104
3943	female	Dalmace	Lizotte	11/18/2005	12	B+	31.1	164
3944	female	Niamh	Burns	10/25/2003	14	O+	57.5	160
3945	male	Luca	Khan	3/26/2008	9	AB+	43	142
3946	female	Rosalee	Obrien	2/1/2016	1	A+	11.8	75
3947	male	Harrison	Coles	12/15/2008	9	A-	33	136
3948	female	Evelyn	Kruglova	10/2/2005	12	A+	50.7	141
3949	female	Katina	Grover	8/16/2005	12	A+	57.8	161
3950	male	Mstislav	Denisov	2/11/2005	12	O+	33	152
3951	male	Jonathan	Barker	1/24/2008	9	A+	29.6	144
3952	female	Donna	Brown	1/10/2018	0	B+	2.3	53
3953	female	Miroslav	Matveyeva	7/24/2008	9	A+	38.3	135
3954	female	Margaux	Patenaude	7/9/2013	4	A+	18.1	110
3955	female	Dorothy	Doyle	12/5/2010	7	B+	32.7	112
3956	female	Courtney	Booth	6/19/2001	16	O+	63.2	154
3957	female	Irene	Bull	2/10/2014	3	A+	15	93
3958	male	Dominic	O'Connor	11/14/2004	13	AB+	38.7	160
3959	male	Bruce	Vachon	2/19/2002	15	AB+	59.9	159
3960	male	George	Loflin	5/8/2009	8	B+	21	139
3961	female	Madelene	Leduc	12/31/2014	3	A+	13.5	98
3962	female	Claudia	Samsonova	5/14/2002	15	O+	47.4	153
3963	male	Davet	Duclos	8/12/2002	15	A+	46.4	174
3964	male	Montague	Théberge	9/9/2010	7	O+	32.6	131
3965	female	Fusberta	Covillon	8/25/2005	12	O+	45.4	137
3966	male	Hayden	Fisher	5/26/2010	7	O-	23.7	125
3967	female	Cleopatra	Aliyeva	11/1/2017	0	O+	2.3	50
3968	female	Fifine	Bonneville	8/29/2011	6	O-	26.2	121
3969	male	Satordi	Plaisance	9/19/2014	3	B+	19	96
3970	female	Isobel	Howe	9/18/2006	11	B+	51.3	132
3971	male	Mason	Mireault	10/8/2003	14	O+	52.2	172
3972	male	Talbot	Langlois	10/13/2016	1	B+	12.4	80
3973	female	Sophie	Robitaille	10/23/2011	6	O+	24.7	118
3974	female	Cyrus	Lebedeva	3/5/2009	8	O+	21.1	132
3975	male	Jayden	Campbell	2/19/2008	9	A+	40.4	143
3976	male	Tyler	Lees	7/13/2012	5	B+	16.8	117
3977	female	Annie	Pittman	1/19/2006	12	A-	31.2	159
3978	male	Joseph	Gregory	11/6/2000	17	O+	93.2	189
3979	male	Lazarus	Pirogov	11/6/2010	7	O+	20.3	127
3980	female	Katie	Hutchinson	10/27/2015	2	O+	10.1	80
3981	female	Bethany	Armstrong	1/31/2002	15	O+	53.8	154
3982	female	Ancelote	Grivois	11/17/2013	4	O+	17.9	104
3983	male	Aaron	Sullivan	2/14/2008	9	A-	31.8	139
3984	male	Gary	Adams	9/17/2010	7	O+	18	120
3985	male	Ivan	Fedorov	6/23/2005	12	A+	50	136
3986	male	Christien	Ratté	9/29/2002	15	AB+	61.1	180
3987	female	Valentine	Matveyeva	2/12/2002	15	B+	49.3	159
3988	male	Evan	Forster	1/11/2005	13	O+	56.7	163
3989	female	Myung	Conrad	8/12/2013	4	O+	12.8	103
3990	female	Thelma	Gallegos	10/22/2003	14	B+	50.3	168
3991	female	Maddison	Bull	2/5/2001	16	A+	48.2	159
3992	male	Daniel	Griffin	6/8/2012	5	O-	14.9	109
3993	male	Newton	Hill	2/18/2008	9	A+	32.9	130
3994	male	Michael	Tatum	10/31/2014	3	O+	15	94
3995	male	Isaac	Heath	12/29/2017	0	O+	3.3	51
3996	male	Taras	Vasin	3/6/2001	16	O+	47.2	175
3997	female	Glyceria	Kulikova	10/19/2003	14	O-	68	171
3998	male	Burt	Williams	1/4/2009	9	B+	42.6	131
3999	male	Christopher	Gillespie	1/29/2006	11	B+	44.8	139
4000	male	Taras	Konovalov	9/27/2007	10	O+	35.3	145
4001	male	Dominique	Kolesnikov	2/10/2013	4	B+	17.7	100
4002	female	Holly	Côté	11/24/2005	12	A+	44.4	151
4003	male	Harrison	Sharpe	2/7/2001	16	B+	87.1	174
4004	female	Gayane	Larionova	2/23/2002	15	O+	64.8	151
4005	male	Curtis	Pelletier	7/8/2000	17	O+	69.9	164
4006	male	Christopher	Morrison	3/7/2010	7	AB+	27.5	120
4007	female	Sandy	Payton	7/28/2000	17	B+	58.5	154
4008	female	Ruth	Korovina	11/15/2000	17	O+	46.1	171
4009	female	Alaine	Chartier	9/21/2006	11	A+	36.7	150
4010	male	Kuzma	Ermakov	10/24/2004	13	O+	35	159
4011	male	Artus	Pelland	9/25/2011	6	AB+	26.3	107
4012	male	Modest	Ponomaryov	4/29/2007	10	B+	29.6	152
4013	female	Brooke	Herbert	11/5/2005	12	A+	54.9	165
4014	female	Eugene	Bobrova	3/6/2011	6	A+	18.9	120
4015	male	Patrick	Parsons	12/22/2014	3	O+	15.7	100
4016	male	William	Jenkins	6/27/2017	0	O+	3	48
4017	male	Tyler	Waters	2/20/2015	2	A+	13.1	86
4018	male	Eldon	Dodson	4/14/2013	4	B+	20.9	110
4019	female	Isabelle	Clark	1/24/2012	5	B+	18.7	102
4020	male	David	Perez	2/12/2013	4	B-	13.5	96
4021	female	Sharon	Maynes	2/14/2004	13	O+	67	155
4022	male	Robert	King	6/4/2008	9	A+	33.7	136
4023	male	Aubin	Desrosiers	9/27/2003	14	O-	49.1	154
4024	female	Isobel	Shaw	6/29/2009	8	A+	19.2	124
4025	female	Angelique	Chesnay	10/13/2015	2	O+	10.8	83
4026	female	Amy	Stanley	1/23/2006	11	O+	51.6	148
4027	female	Delmare	Roux	2/7/2017	0	AB+	3.3	49
4028	male	Barry	Couet	2/5/2012	5	A+	16.8	118
4029	female	Cleopatra	Tokareva	8/20/2007	10	A+	42.6	129
4030	male	Joel	Rice	3/3/2007	10	O+	31.6	130
4031	female	Zarina	Alekseyeva	6/3/2004	13	B+	36.2	162
4032	female	Noémi	Loiseau	9/29/2009	8	AB-	26.9	117
4033	male	Adam	Efremov	9/3/2009	8	O-	35.1	122
4034	female	Anfisa	Alexeeva	12/1/2016	1	B-	9.5	80
4035	female	Dalmace	Leroy	8/27/2007	10	B+	32.4	151
4036	female	Dominique	Turgeon	10/15/2003	14	O+	51.7	158
4037	female	Matilda	Davies	10/1/2013	4	O+	19.5	94
4038	female	Yuna	Mordvinova	5/3/2012	5	O-	20	112
4039	male	David	Allen	12/20/2004	13	O+	38	166
4040	female	Teresa	Golubova	3/15/2003	14	AB+	42.4	150
4041	male	Freddie	Miller	6/26/2005	12	O+	60.3	149
4042	female	Elena	Zhdanova	6/25/2016	1	A+	7	77
4043	female	Mia	Bailey	4/30/2002	15	O+	43.5	156
4044	male	Orville	Beauchamp	2/16/2016	1	AB+	9.1	72
4045	male	Alexis	Sauriol	4/4/2001	16	A+	80.5	184
4046	female	Alexandrin	Grivois	3/14/2016	1	O+	9.8	74
4047	male	Orson	Bernier	7/9/2015	2	O+	13.3	93
4048	male	Archie	Cross	8/15/2005	12	O-	39.2	150
4049	male	Alex	Ross	11/3/2009	8	O+	31.6	132
4050	female	Noémi	Bienvenue	9/21/2003	14	A+	37.5	163
4051	male	Nicholas	McCormick	8/22/2013	4	O+	18.1	108
4052	male	Moses	Fedorov	10/31/2017	0	A+	4.6	52
4053	female	Heather	Terry	5/26/2008	9	B+	39.6	138
4054	female	Carol	Head	9/23/2017	0	AB+	3.1	47
4055	male	Morgan	Wallis	12/10/2001	16	A+	54.4	171
4056	female	Zoé	Thivierge	7/31/2011	6	B+	17.7	115
4057	female	Elita	Édouard	4/8/2008	9	A+	44.9	124
4058	male	Onfroi	Beausoleil	10/3/2016	1	B+	9.3	78
4059	female	Valentine	Sazonova	12/10/2001	16	A+	74.9	175
4060	female	Tempeste	Rochefort	3/2/2013	4	O+	17	101
4061	male	Guy	Rodriguez	10/18/2014	3	A-	15	93
4062	female	Mia	Herbert	4/5/2010	7	A+	25.3	132
4063	male	Leal	Marier	3/15/2014	3	O+	12	102
4064	male	Timothée	Clément	8/7/2008	9	O-	42.2	132
4065	male	Matthew	Fletcher	5/19/2005	12	B-	34	157
4066	male	Freddie	Poole	11/26/2003	14	B+	72.1	161
4067	male	Oliver	Artemiev	7/4/2004	13	A+	47.7	158
4068	male	Varden	Lamontagne	1/26/2015	2	B+	15	88
4069	male	Makar	Loginov	9/25/2011	6	O-	17.2	114
4070	male	Jeffrey	Clark	7/21/2008	9	B-	29.4	133
4071	female	Raina	Séguin	6/4/2007	10	B+	34.4	148
4072	male	Vladimir	Boholyubov	10/30/2015	2	A-	13.2	90
4073	male	Ruben	Bell	11/27/2009	8	O+	26.6	133
4074	female	Johanna	Chase	8/8/2016	1	B+	11.3	74
4075	female	Ruby	Babin	5/3/2009	8	B+	26.2	129
4076	female	Stephanie	Bryant	10/6/2016	1	A+	9	74
4077	female	Tilly	Wheeler	7/22/2004	13	B+	56.2	155
4078	female	Renata	Yegorova	11/18/2015	2	B+	15.8	90
4079	male	Justin	Holloway	8/30/2017	0	O-	4.3	53
4080	female	Lola	Shepherd	7/29/2012	5	B+	22	101
4081	female	Melissa	Fraser	7/30/2012	5	AB+	14.7	106
4082	male	Joe	Willis	9/21/2001	16	B+	61.1	173
4083	male	Aaron	Bruce	11/15/2010	7	O-	27.2	130
4084	female	Lily	Huey	6/2/2013	4	A+	21.5	95
4085	female	Kayleigh	Potter	8/9/2008	9	B+	28.3	144
4086	male	Ganelon	Bouchard	10/26/2004	13	O+	70.9	165
4087	male	Bradley	Delarosa	1/10/2001	17	O+	77.2	186
4088	male	Dominique	Duclos	4/3/2014	3	A+	13.6	88
4089	male	Bayard	Lamothe	7/19/2016	1	A-	8.8	80
4090	male	Byron	Miron	12/12/2002	15	A+	72.3	172
4091	female	Fatima	Kudryashova	6/2/2010	7	B+	31.2	120
4092	female	Elizabeth	Jones	12/5/2012	5	B+	21	108
4093	female	Alevtina	Artemyeva	4/4/2001	16	O+	51.4	153
4094	female	Laurette	Clément	4/30/2011	6	O+	23.7	111
4095	female	Juliette	Gaudreau	6/10/2006	11	B+	49	142
4096	male	Robert	Dotson	4/30/2016	1	O-	8.8	72
4097	male	Raoul	Vaillancour	10/28/2005	12	A+	48.8	144
4098	female	Fanette	Voisine	5/29/2013	4	O-	16.2	102
4099	male	Keith	Tomlin	11/6/2004	13	B+	58.4	162
4100	female	Phoebe	Knowles	11/30/2004	13	O+	44.3	145
4101	female	Prunella	Loiselle	10/8/2001	16	B+	59.9	156
4102	male	Legget	Pariseau	3/27/2007	10	O+	35.3	145
4103	female	Merci	Lamour	9/26/2013	4	O+	15.2	103
4104	female	Katie	Henry	9/2/2010	7	O+	29.6	114
4105	male	Peverell	Lejeune	4/4/2013	4	A+	17.4	100
4106	male	Jack	Evans	4/27/2014	3	O-	16.3	96
4107	male	Alexander	Gill	10/6/2012	5	O+	24.9	101
4108	male	Zachary	Perry	8/4/2011	6	O+	23	110
4109	female	Marjorie	Lokey	3/9/2016	1	A+	11.4	76
4110	male	Théophile	Norbert	12/31/2009	8	B-	37	130
4111	female	Shirley	Pahl	6/22/2016	1	A+	10.5	73
4112	female	Maisie	Rowe	7/25/2005	12	O+	54.1	139
4113	male	Reece	Dixon	12/24/2012	5	A+	18.1	113
4114	female	Nadine	Gladu	4/29/2002	15	O+	54.5	167
4115	male	Cloridan	Théberge	3/7/2010	7	A+	19.1	118
4116	female	Cristina	Seleznyova	1/9/2016	2	O+	15.2	87
4117	male	Mohammad	Palmer	11/3/2011	6	O+	18.9	113
4118	female	Madison	Bolton	1/24/2015	2	AB+	13.9	80
4119	female	Nicole	Cain	10/4/2014	3	AB+	16.9	102
4120	female	Chrissy	Reynolds	3/23/2007	10	O+	40.8	137
4121	female	Sherry	Dawson	11/5/2001	16	A+	70.6	154
4122	male	Burkett	Plante	10/23/2016	1	O+	11.3	76
4123	female	Etoile	Cloutier	10/7/2006	11	O+	40.4	154
4124	female	Isabelle	Macdonald	4/20/2016	1	O+	10.2	69
4125	female	Seraphim	Korovina	5/26/2015	2	O+	11.7	88
4126	male	Philemon	Balashov	7/16/2008	9	O+	33	146
4127	male	George	Galvan	5/15/2005	12	A+	46.8	153
4128	female	Allie	Reyes	1/25/2010	7	B+	22.2	118
4129	male	Xenophon	Ponomarev	6/16/2012	5	O+	22.6	115
4130	female	Dorothée	Picard	1/10/2018	0	O+	2.5	50
4131	female	Melissa	Holton	9/17/2003	14	AB+	77.4	152
4132	female	Rebecca	Hohl	6/30/2001	16	O+	50.3	155
4133	female	Amedee	Beausoleil	10/13/2003	14	AB-	67.3	157
4134	male	Saville	Lafrenière	11/29/2016	1	A+	8.6	72
4135	male	Garland	Loiselle	7/24/2003	14	A+	65.2	177
4136	male	James	Smith	6/1/2004	13	O+	47.3	168
4137	male	David	Tracy	4/23/2004	13	A+	41	157
4138	male	Aubin	Daviau	4/4/2008	9	O+	33.1	142
4139	male	Alfred	Lacharité	8/10/2002	15	A+	44.5	177
4140	male	Brian	Inoue	2/3/2013	4	O+	16.8	96
4141	male	Panteleimon	Sokolov	10/21/2008	9	O-	37.2	131
4142	female	Holly	Chevrette	3/10/2001	16	B+	56.1	150
4143	female	Honore	Bernard	1/4/2017	1	O+	8.1	70
4144	male	Nathan	Kotov	12/14/2012	5	A+	18.9	106
4145	female	Pansy	D'Aoust	10/13/2002	15	O-	49.2	154
4146	male	Finlay	Cole	12/7/2003	14	A+	45	170
4147	female	Valentine	Ilyina	5/31/2002	15	A+	41.3	156
4148	female	Honore	Benjamin	6/18/2004	13	O+	38.7	164
4149	female	Morgan	Patterson	9/30/2011	6	O+	25.1	119
4150	male	David	Welch	6/18/2011	6	O+	25.2	112
4151	male	Edward	Perez	8/13/2011	6	O+	24.7	109
4152	male	Daniel	Efremov	12/1/2012	5	O+	24.9	115
4153	male	Mike	Chatman	5/11/2016	1	A+	10	75
4154	male	James	Gibbs	5/24/2003	14	O+	58	160
4155	male	Christopher	Baratta	10/14/2011	6	AB+	20.1	123
4156	female	Ruth	Mace	3/22/2016	1	O+	9.8	77
4157	female	Yasmin	Chamberlain	10/9/2006	11	B+	50.1	146
4158	male	Bevis	Théberge	5/3/2011	6	AB-	18.7	117
4159	male	Max	Newbill	10/23/2013	4	B+	14.4	110
4160	female	Molly	Ryan	8/31/2010	7	O+	27.8	117
4161	female	Vasilisa	Sidorova	2/4/2012	5	B+	20.3	103
4162	female	Alacoque	D'Avis	2/1/2004	13	B+	65.7	159
4163	female	Emma	Sharp	6/1/2002	15	A+	74	151
4164	male	Declan	Welch	8/14/2003	14	A+	58	171
4165	male	Donald	Pruitt	3/12/2017	0	O+	3.7	53
4166	female	Hélène	Duval	6/16/2017	0	B+	4.7	51
4167	male	Toby	Grant	10/4/2008	9	O+	30.2	126
4168	male	Alberto	Peters	12/27/2004	13	O+	68	150
4169	male	Ashley	Martin	11/21/2008	9	B+	31.4	136
4170	male	Dominic	Mitchell	4/2/2012	5	AB+	20.8	108
4171	male	Constantine	Kharlamov	3/9/2003	14	A+	42.3	163
4172	male	Nelson	Smith	11/12/2004	13	A+	38.6	155
4173	female	Katherine	George	3/13/2014	3	B+	11.2	94
4174	male	Anthony	Mahmood	4/25/2007	10	O+	33.2	127
4175	male	Jude	Saunders	9/30/2017	0	B+	2.1	49
4176	male	Oliver	Alexeyeva	2/2/2007	10	A+	29.8	148
4177	male	Henry	Morton	2/7/2002	15	A+	71.5	165
4178	female	Lina	Yurieva	2/15/2015	2	A+	9.3	84
4179	female	Jennifer	Warner	10/16/2007	10	O+	45.7	133
4180	male	Alexandre	Pichette	12/18/2016	1	B+	11.9	82
4181	male	Gerasimos	Belousov	8/25/2017	0	B+	3.4	53
4182	male	Saville	Chnadonnet	2/12/2006	11	O+	34.9	147
4183	female	Zara	Johnson	10/20/2011	6	A+	28.7	118
4184	female	Mia	Gordon	9/15/2002	15	O-	61.2	163
4185	female	Pelagia	Pirogova	12/1/2011	6	O+	19.5	120
4186	female	Zinaida	Golubeva	12/6/2007	10	O+	40.1	126
4187	male	Finley	Whitehouse	9/30/2003	14	A+	75.5	167
4188	female	Elise	Sheppard	10/13/2001	16	B+	74.1	169
4189	male	Zacharie	Caouette	2/17/2016	1	A+	8.3	72
4190	male	Orson	Lauzier	1/28/2000	17	AB+	84	180
4191	male	Daniel	Choudhury	6/12/2009	8	O+	22	128
4192	female	Natalia	Komarova	3/17/2009	8	O+	23.1	126
4193	female	Diane	Moore	12/17/2012	5	O+	24.5	101
4194	female	Demi	Norton	3/8/2004	13	B+	64.1	145
4195	female	Diane	Franks	3/31/2007	10	O+	27.5	144
4196	male	Randy	Soto	7/15/2004	13	O-	34.2	159
4197	male	Bulat	Golovanov	5/25/2000	17	B+	73	170
4198	male	Johnny	Smith	10/1/2002	15	B+	82.9	182
4199	male	Florus	Gingras	2/27/2008	9	O+	42.4	133
4200	male	Valiant	Sciverit	1/8/2004	14	O+	67.3	167
4201	female	Sydney	Lamour	12/18/2014	3	A-	14.5	100
4202	male	Nikita	Medvedev	10/20/2005	12	A+	50.1	158
4203	female	Ilona	Ponomaryova	8/22/2006	11	A+	51.5	151
4204	female	Tanya	Ruvalcaba	4/25/2017	0	O+	5	49
4205	female	Myra	Afanasyeva	8/23/2007	10	O+	47.1	135
4206	male	Thibaut	Méthot	6/27/2007	10	A+	48.8	138
4207	male	Sidor	Anisimov	2/15/2003	14	B+	37.6	150
4208	female	Nick	Chesnokova	6/18/2012	5	A+	23.2	102
4209	male	Nicanor	Shubin	7/15/2012	5	B+	19.8	103
4210	female	Emma	Little	9/13/2002	15	A-	48.6	172
4211	female	Fantina	Sacré	7/22/2016	1	O+	9.1	69
4212	female	Albina	Efremova	2/23/2008	9	O+	41.7	143
4213	female	Ava	Power	3/30/2011	6	AB+	18.8	125
4214	male	Rustam	Andreeff	12/30/2004	13	O+	46.5	167
4215	male	Christopher	Stephenson	1/2/2003	15	O+	51.6	162
4216	male	William	Soliz	8/11/2013	4	A-	14.6	110
4217	female	Suzette	Laisné	2/27/2010	7	O+	23	114
4218	male	Leonti	Alexandrov	1/20/2016	2	B+	13.7	86
4219	female	Eugene	Avdeeva	1/4/2016	2	B+	9.4	85
4220	female	Magda	Maynard	9/22/2014	3	B+	14.6	100
4221	female	Mary	Ferreira	10/29/2003	14	B+	42.6	172
4222	male	John	Moore	5/10/2014	3	A+	14.1	92
4223	male	Ignace	Laprise	11/26/2014	3	B+	16.1	88
4224	male	Rick	Lewis	4/7/2012	5	O+	24.7	116
4225	male	Ellis	Nash	6/4/2008	9	B+	30.2	141
4226	male	Todd	Warren	11/23/2001	16	A+	86.3	171
4227	female	Albina	Aksenova	9/26/2016	1	A+	10.3	76
4228	female	Annie	Kelly	9/26/2013	4	B+	14.4	94
4229	female	Monika	Dupree	10/21/2014	3	B+	14.9	98
4230	female	Lima	Golubova	2/13/2004	13	A+	63	144
4231	female	Elita	Duval	10/4/2003	14	A+	73.2	160
4232	male	Bulat	Zaitsev	12/1/2003	14	O+	75.5	178
4233	male	Michael	West	4/19/2002	15	O+	80.1	175
4234	male	Harley	Dawson	6/30/2008	9	B+	34.8	138
4235	male	Daniel	Chambers	4/24/2003	14	O+	41.1	171
4236	female	Natalie	Dumont	2/6/2005	12	A-	40.6	137
4237	female	Patricia	Turgeon	6/21/2013	4	O+	19.9	104
4238	female	Samira	Avdeeva	5/31/2017	0	A-	3.9	49
4239	female	Rice	Bobrova	4/2/2017	0	O+	3.3	54
4240	male	Tyler	Ross	1/29/2017	0	O+	2.2	47
4241	female	Patricia	Sazonova	11/8/2008	9	B+	35.8	141
4242	male	Nazar	Glazkov	2/7/2005	12	O+	59.9	160
4243	female	Julienne	de Launay	4/24/2009	8	O+	23.4	123
4244	male	Ryan	Rhodes	8/5/2016	1	O+	12.5	78
4245	female	Joyce	Ashley	3/18/2006	11	B+	52.5	146
4246	male	James	Chenault	7/14/2004	13	O-	70.9	151
4247	female	Dana	Pokrovskaya	3/20/2013	4	A+	14.5	106
4248	male	Ganelon	Meilleur	1/2/2018	0	A+	4.1	45
4249	female	Nick	Alexeyeva	6/16/2015	2	O+	9	78
4250	male	Aimé	Leduc	7/8/2017	0	O+	2.6	47
4251	female	Edith	Dubinina	10/12/2009	8	A+	35.4	120
4252	male	Jordan	Brooks	4/21/2010	7	O+	32.8	118
4253	male	Perrin	Lesage	11/14/2011	6	A+	20.9	118
4254	male	Joe	Goins	9/29/2005	12	A+	42.7	162
4255	female	Lisa	Collins	1/18/2018	0	O+	3.2	54
4256	male	Alphonse	Cormier	5/5/2017	0	B+	2.2	47
4257	male	Isaac	Thomson	8/4/2006	11	A-	28.8	144
4258	male	Samson	Polyakov	12/29/2000	17	B+	65.6	187
4259	female	Celia	Zuniga	2/27/2000	17	A+	86.2	162
4260	male	Terence	Sidorov	8/15/2005	12	A+	53.7	164
4261	male	Marsilius	Voisine	4/26/2010	7	B+	23.1	128
4262	female	Cora	Kelleher	9/25/2013	4	O+	12.2	100
4263	male	Billy	Horton	9/7/2003	14	A+	54.9	169
4264	female	Lima	Zakharova	10/7/2000	17	O+	57.1	174
4265	female	Betty	Jackson	6/23/2002	15	O+	74.2	169
4266	male	Gano	Robitaille	2/4/2010	7	O+	22.1	132
4267	female	Vasilisa	Yashina	4/7/2017	0	A+	3.7	48
4268	female	Alita	Paradis	2/15/2014	3	O+	17.6	96
4269	female	Marvel	Foster	4/20/2002	15	B-	68	156
4270	male	Eric	Tikhonov	1/10/2003	15	B+	74.2	175
4271	male	Myron	Borodin	1/7/2006	12	O+	38.3	160
4272	female	Tara	Timmer	3/6/2006	11	A+	34.4	151
4273	male	Jose	Palmer	12/4/2004	13	B+	37.4	170
4274	male	Rustam	Pokrovsky	2/7/2014	3	B+	11.8	101
4275	male	Jaromir	Lavrentiev	11/3/2006	11	B+	34.6	150
4276	male	Jonathan	Barnett	2/10/2013	4	O+	21.9	108
4277	female	Danielle	Turgeon	8/31/2011	6	B+	16.9	119
4278	female	Cora	Kalinina	12/29/2006	11	O+	37.6	132
4279	female	Mia	Walsh	9/29/2004	13	A+	44.6	150
4280	female	Belle	Charette	11/10/2015	2	A+	9.2	86
4281	male	Jonathan	Smith	7/21/2004	13	AB+	41.5	157
4282	female	Norma	Carter	9/24/2015	2	A+	15.2	86
4283	female	Mireille	Lamour	7/8/2015	2	A+	15.9	91
4284	male	Nahum	Pokrovsky	11/16/2015	2	B+	12.5	88
4285	female	Doris	Berman	4/25/2016	1	O+	9.6	69
4286	female	Mollie	Bowen	3/12/2017	0	O+	4	48
4287	male	Mark	Walden	8/6/2001	16	B+	54.7	169
4288	male	Alfred	Chartier	12/26/2017	0	AB-	2.3	46
4289	male	Timothy	Kirillov	9/28/2009	8	O+	30.5	117
4290	female	Eve	Simmons	5/12/2013	4	AB+	13.6	108
4291	male	Steven	Ferguson	9/19/2008	9	A+	22.4	142
4292	female	Dana	Kuznetsova	7/27/2000	17	B+	78.3	156
4293	male	Thaddeus	Isayev	7/23/2003	14	A+	53.9	151
4294	male	Irving	Taylor	2/14/2001	16	O-	45.6	183
4295	male	Zak	Patterson	3/7/2002	15	O+	52.6	159
4296	female	Sienna	Spencer	11/20/2006	11	O+	27.7	149
4297	female	Mstislav	Izmailova	1/15/2012	6	B+	24.2	122
4298	male	Hayden	Thompson	6/15/2001	16	O+	63.9	174
4299	female	Zara	Denisova	9/23/2016	1	O+	7.1	69
4300	male	Campbell	Maheu	8/10/2001	16	AB+	86.9	184
4301	male	Antonio	Herrera	8/23/2015	2	O+	10	82
4302	female	Delit	Echeverri	5/23/2014	3	A+	16	87
4303	male	Elmer	Burcham	4/2/2004	13	A+	46.2	161
4304	female	Shirley	Reilly	4/28/2012	5	O+	23.6	114
4305	female	Sara	Saunders	11/28/2006	11	O+	50.9	154
4306	male	Germain	Blanc	6/29/2005	12	A+	58.5	152
4307	male	Timur	Tretyakov	5/7/2002	15	O+	57	181
4308	female	Eleanor	Lebedeva	8/30/2016	1	A+	7.4	72
4309	male	Loyal	DeGrasse	3/18/2013	4	A+	14.7	100
4310	male	Jack	Long	7/10/2003	14	B+	54.5	154
4311	male	Arber	Leblanc	11/6/2000	17	O+	72.6	185
4312	male	Robert	Evans	5/26/2010	7	B+	32.8	131
4313	male	Larry	Brownlow	8/9/2010	7	A+	29.4	119
4314	female	Marjorie	William	9/5/2015	2	A+	13.7	82
4315	female	Flora	Blankenship	7/17/2013	4	O+	18.5	104
4316	male	Luke	Gregory	1/1/2011	7	O+	31.1	125
4317	male	Liam	Bryan	11/22/2015	2	A-	13.2	91
4318	male	Thomas	George	3/19/2009	8	O+	30.7	138
4319	female	Lori	Saylor	1/4/2004	14	B+	43.5	160
4320	female	Clementine	Durand	3/31/2010	7	A+	32.5	124
4321	female	Jeanette	Smallwood	2/15/2003	14	O+	62.9	173
4322	female	Thais	Dubinina	11/3/2011	6	O+	26.3	116
4323	female	Lina	Korovina	5/12/2001	16	O+	81	169
4324	male	Jamie	Price	9/25/2010	7	A+	30.8	121
4325	male	George	Hagood	12/30/2004	13	B+	67.7	161
4326	female	Dielle	Joly	12/19/2013	4	B+	13	99
4327	female	Germaine	Pitre	9/16/2008	9	B-	21.6	131
4328	female	Jennifer	Ellis	4/30/2005	12	O+	48.9	140
4329	male	Étienne	Rossignol	11/4/2016	1	O+	12.7	75
4330	female	Bella	Yermolayeva	2/5/2006	11	B+	30.3	154
4331	male	Ricky	Bryant	6/23/2010	7	A+	30	131
4332	female	Cerys	Sharpe	3/4/2016	1	A+	9.7	78
4333	female	Linda	Schaal	10/10/2011	6	B+	19.8	119
4334	female	Sarah	Gibbs	5/9/2000	17	B+	49.8	161
4335	male	Aidan	Sharpe	6/14/2005	12	O+	37.6	159
4336	male	Calvin	Murillo	9/1/2004	13	O+	42	159
4337	female	Jacqueline	Côté	5/30/2009	8	B+	29.6	126
4338	male	Malcolm	Riley	10/30/2012	5	O+	20.2	115
4339	female	Paige	Thornton	9/14/2010	7	A+	24.3	115
4340	female	Abigail	Whitehead	4/25/2006	11	A-	36.3	134
4341	female	Bronislaw	Agafonova	2/22/2013	4	A+	16.5	97
4342	female	Amber	Rowe	5/1/2001	16	A+	80.9	172
4343	female	Snjezana	Nikitina	1/25/2002	15	O+	81.4	156
4344	male	Florus	Dufour	2/5/2003	14	O+	75.5	174
4345	female	Miroslav	Gerasimova	10/19/2006	11	O+	33	147
4346	male	Éric	Séguin	3/25/2014	3	O+	12.7	101
4347	male	Saville	Charlebois	1/26/2014	3	B+	14.6	94
4348	female	Jade	Hooper	8/22/2003	14	O+	41.1	160
4349	female	Edna	Oneal	3/31/2002	15	B+	44.4	163
4350	male	Reginald	Melcher	10/21/2007	10	B+	46.3	152
4351	female	Isabel	Barton	1/14/2015	3	A+	15.7	87
